order_date;registered_date;user_id;SKU;Quantity
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;29-Aug-17;80875;180917;1
18-Sep-17;18-Sep-17;80969;210917;1
18-Sep-17;18-Sep-17;80970;190917;1
19-Sep-17;18-Sep-17;80971;190917;1
19-Sep-17;18-Sep-17;80973;190917;1
19-Sep-17;18-Sep-17;80974;220917;1
19-Sep-17;4-Sep-17;80881;190917;1
19-Sep-17;18-Sep-17;80972;190917;1
19-Sep-17;18-Sep-17;80968;190917;1
19-Sep-17;19-Sep-17;80975;190917;1
19-Sep-17;29-Aug-17;80875;190917;1
19-Sep-17;29-Aug-17;80875;190917;1
19-Sep-17;29-Aug-17;80875;190917;1
19-Sep-17;29-Aug-17;80875;190917;1
19-Sep-17;29-Aug-17;80875;190917;3
19-Sep-17;29-Aug-17;80875;190917;1
19-Sep-17;29-Aug-17;80875;190917;2
19-Sep-17;29-Aug-17;80875;190917;2
19-Sep-17;19-Sep-17;80976;200917;1
19-Sep-17;19-Sep-17;80978;200917;1
19-Sep-17;29-Aug-17;80875;200917;1
20-Sep-17;20-Sep-17;80979;200917;1
20-Sep-17;29-Aug-17;80875;200917;2
20-Sep-17;29-Aug-17;80875;200917;2
20-Sep-17;29-Aug-17;80875;200917;2
20-Sep-17;29-Aug-17;80875;220917;2
20-Sep-17;12-Sep-17;80923;200917;1
20-Sep-17;20-Sep-17;80981;200917;1
20-Sep-17;20-Sep-17;80982;200917;1
20-Sep-17;20-Sep-17;80983;200917;1
20-Sep-17;20-Sep-17;80984;210917;1
20-Sep-17;17-Sep-17;80963;210917;1
20-Sep-17;20-Sep-17;80986;210917;1
21-Sep-17;20-Sep-17;80987;210917;1
21-Sep-17;20-Sep-17;80989;210917;1
21-Sep-17;21-Sep-17;80991;210917;1
21-Sep-17;21-Sep-17;80992;210917;1
21-Sep-17;21-Sep-17;80994;210917;1
